"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"86"	"4633-0"	1455301274275	32	"subSuperTrial"	"basic22"	"bedsideTable"	"target"	4	3	"table"	"furniture"	"bookcase"	"distractor"	3	2	NA	"furniture"	"bed"	"distractor"	2	4	NA	"furniture"	"nightstand"	""	"1455301272004"	"nightstand"	"bedsideTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"118"	"1997-d"	1455301253065	40	"subSuperTrial"	"basic12"	"bedsideTable"	"target"	3	2	"table"	"furniture"	"sideTable"	"distractor"	4	4	"table"	"furniture"	"lamp"	"distractor"	2	3	NA	"furniture"	"nightstand"	""	"1455301250069"	"nightstand"	"bedsideTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"175"	"3791-8"	1455301136840	10	"subSuperTrial"	"basic22"	"bedsideTable"	"target"	4	2	"table"	"furniture"	"lamp"	"distractor"	3	4	NA	"furniture"	"wardrobe"	"distractor"	2	3	NA	"furniture"	"night stand"	""	"1455301133442"	"night stand"	"bedsideTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"314"	"9165-a"	1455301538847	72	"subSuperTrial"	"basic22"	"bedsideTable"	"target"	3	2	"table"	"furniture"	"wardrobe"	"distractor"	4	4	NA	"furniture"	"lamp"	"distractor"	2	3	NA	"furniture"	"two drawer nightstand"	""	"1455301537277"	"two drawer nightstand"	"bedsideTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"344"	"1749-c"	1455301373541	59	"subSuperTrial"	"basic12"	"bedsideTable"	"target"	4	2	"table"	"furniture"	"wardrobe"	"distractor"	3	3	NA	"furniture"	"sideTable"	"distractor"	2	4	"table"	"furniture"	"2 drawer nightstand"	""	"1455301370585"	"2 drawer nightstand"	"bedsideTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"377"	"4242-5"	1455301677779	58	"subSuperTrial"	"basic33"	"bedsideTable"	"target"	2	3	"table"	"furniture"	"ivy"	"distractor"	3	4	NA	"plant"	"bison"	"distractor"	4	2	NA	"animal"	"the cabinet"	""	"1455301675930"	"the cabinet"	"bedsideTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"527"	"6879-8"	1455301445558	60	"subSuperTrial"	"basic22"	"bedsideTable"	"target"	3	4	"table"	"furniture"	"bed"	"distractor"	2	2	NA	"furniture"	"lamp"	"distractor"	4	3	NA	"furniture"	"stand"	""	"1455301444221"	"stand"	"bedsideTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"631"	"8691-9"	1455301757734	64	"subSuperTrial"	"basic22"	"bedsideTable"	"target"	4	2	"table"	"furniture"	"wardrobe"	"distractor"	3	3	NA	"furniture"	"lamp"	"distractor"	2	4	NA	"furniture"	"nightstand"	""	"1455301755743"	"nightstand"	"bedsideTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"682"	"5895-f"	1455301936920	56	"subSuperTrial"	"basic12"	"bedsideTable"	"target"	3	2	"table"	"furniture"	"sideTable"	"distractor"	2	4	"table"	"furniture"	"bed"	"distractor"	4	3	NA	"furniture"	"nightstand"	""	"1455301932946"	"nightstand"	"bedsideTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"724"	"3084-5"	1455302491489	69	"subSuperTrial"	"basic23"	"bedsideTable"	"target"	3	4	"table"	"furniture"	"chips"	"distractor"	2	2	NA	"snack"	"bed"	"distractor"	4	3	NA	"furniture"	"chest/"	""	"1455302489400"	"chest/"	"bedsideTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
